Wavelength,Acoita,Aroeira_vermelha,Aroeira_braba,Inga,Pata_de_vaca
2223,0.276564461,0.252499723,0.167357881,0.255919012,0.272062171
2224,0.281144935,0.25372822,0.137478131,0.263438025,0.254980102
2225,0.262339255,0.231951597,0.172113431,0.249786955,0.28054828
2226,0.249696767,0.211135377,0.216634572,0.243867993,0.309197986
2227,0.281809747,0.210585207,0.20903956,0.237421986,0.293527868
2228,0.309422833,0.21797736,0.185773796,0.223653027,0.274003121
2229,0.27419402,0.230408484,0.214896211,0.224365377,0.275143921
2230,0.235024825,0.236196783,0.249356452,0.235357621,0.283678702
2231,0.25182806,0.21640434,0.22467089,0.236388472,0.28000569
2232,0.28266508,0.195610359,0.189579935,0.232183447,0.268287969
2233,0.274756557,0.188555017,0.197911644,0.234565398,0.273250571
2234,0.247192627,0.187024267,0.209361058,0.232975823,0.29296748
2235,0.226949781,0.1896626,0.195371035,0.234629205,0.29634892
2236,0.230798769,0.197560194,0.180253583,0.242201009,0.28058019
2237,0.251233336,0.20958159,0.183260581,0.244005388,0.262472323
2238,0.250414747,0.221473554,0.197926098,0.2542229,0.261698392
2239,0.246709445,0.236047535,0.194106683,0.260225818,0.278692523
2240,0.259325752,0.235192224,0.173689523,0.261530036,0.291912657
2241,0.285885996,0.226741889,0.17721045,0.254670736,0.285559836
2242,0.28613362,0.232461902,0.199862143,0.237569228,0.253360969
2243,0.218802392,0.240658921,0.205565017,0.229119685,0.246428752
2244,0.172163843,0.237736908,0.185551311,0.223624811,0.284582171
2245,0.194612776,0.22036474,0.181824297,0.205371416,0.298084292
2246,0.230645695,0.20977883,0.204745479,0.207118639,0.236590092
2247,0.224304789,0.213613838,0.210778159,0.239454594,0.209086306
2248,0.221756205,0.204698828,0.199681845,0.265613425,0.264167374
2249,0.240173663,0.188452266,0.200892523,0.255163315,0.30900391
2250,0.256594476,0.195187244,0.210797808,0.212853512,0.266125667
2251,0.251854724,0.205870557,0.200026289,0.187755768,0.242694801
2252,0.235834152,0.171363957,0.176393722,0.216550612,0.28508051
2253,0.247074455,0.15343581,0.176143405,0.257751787,0.315931666
2254,0.29515118,0.183639991,0.195792302,0.264086989,0.283164123
2255,0.317338702,0.195799395,0.199351054,0.247623217,0.240579598
2256,0.280545026,0.164052275,0.18575342,0.238653032,0.215794054
2257,0.257207519,0.156859042,0.184436864,0.237614933,0.21009153
2258,0.265024638,0.190793984,0.186415008,0.227200624,0.243577735
2259,0.265669042,0.206607307,0.17376802,0.213829124,0.27295129
2260,0.26162276,0.184136301,0.157319158,0.207383701,0.240978885
2261,0.270944685,0.173703571,0.155669697,0.211944208,0.194346848
2262,0.266429546,0.181335254,0.17280816,0.231633395,0.193419498
2263,0.240820876,0.182050081,0.185301298,0.243292215,0.237667534
2264,0.248224929,0.165483138,0.186863998,0.238306588,0.280967876
2265,0.286778435,0.147102741,0.192676099,0.23338975,0.288807422
2266,0.290807891,0.171910353,0.18785747,0.233360842,0.26516642
2267,0.25125666,0.228165749,0.173827821,0.241257671,0.258633828
2268,0.224725151,0.225445873,0.169203779,0.242145687,0.273039943
2269,0.25040516,0.168114071,0.181949447,0.22092391,0.274442357
2270,0.262891597,0.169511265,0.187298132,0.197314325,0.262541842
2271,0.234999904,0.22258065,0.171913898,0.199366094,0.25733003
2272,0.205358557,0.227185181,0.164898555,0.198824452,0.250712472
2273,0.178230806,0.198982163,0.176936896,0.186050113,0.245622624
2274,0.186857917,0.204914557,0.190074572,0.206604463,0.266091111
2275,0.232310668,0.228813633,0.184124431,0.242006874,0.273836339
2276,0.25594466,0.197394228,0.174879657,0.223268047,0.237642559
2277,0.211361837,0.157444453,0.178193749,0.186684632,0.226408122
2278,0.182229272,0.159963322,0.185824761,0.208475997,0.273250312
2279,0.254590073,0.165702519,0.186646031,0.259400684,0.287168729
2280,0.315847987,0.151925615,0.173710126,0.239844719,0.235822555
2281,0.287775457,0.148591438,0.159144421,0.160218053,0.215017757
2282,0.234184182,0.176343225,0.167106343,0.1583938,0.266628397
2283,0.226598015,0.180141202,0.188548666,0.26175527,0.303617921
2284,0.26815626,0.137722123,0.179248452,0.306565446,0.294716549
2285,0.28816267,0.142058793,0.135858438,0.234740263,0.295618966
2286,0.277540866,0.19569695,0.112891816,0.198218793,0.291912791
2287,0.296231043,0.207656196,0.159390004,0.221807864,0.28909148
2288,0.323886007,0.168421683,0.20689685,0.24169254,0.316219676
2289,0.289104611,0.166774578,0.181607869,0.217139569,0.346468306
2290,0.213935375,0.223070675,0.141983208,0.182723807,0.317082116
2291,0.199341822,0.225759912,0.147166999,0.183324617,0.263986404
2292,0.266058517,0.18113592,0.17476729,0.225076821,0.237541874
2293,0.288346943,0.173496535,0.174984181,0.286133909,0.241013655
2294,0.227935201,0.204451385,0.149490337,0.303883404,0.259056848
2295,0.191604432,0.212832777,0.128828188,0.267790273,0.280130997
2296,0.217324305,0.187279496,0.131196463,0.235189372,0.291614386
2297,0.268517268,0.174913657,0.140075684,0.239039674,0.278825089
2298,0.261851171,0.195647821,0.149415355,0.259788957,0.260202959
2299,0.233608145,0.205467346,0.175973208,0.238784859,0.251352486
2300,0.246634197,0.187813284,0.200899658,0.192387117,0.252144635
2301,0.215203357,0.187704492,0.195930243,0.198505631,0.249316175
2302,0.135949524,0.209500614,0.18006109,0.228282514,0.215642043
2303,0.138416972,0.206029317,0.161937644,0.197088644,0.180004265
2304,0.213446425,0.184087235,0.134982393,0.149995793,0.200356849
2305,0.238619617,0.192047036,0.108087333,0.164832719,0.209835309
2306,0.206443185,0.238232335,0.120155722,0.21428147,0.156779984
2307,0.228921816,0.256053632,0.175217029,0.219355115,0.118939226
2308,0.274039996,0.212922534,0.192398232,0.193208618,0.161656024
2309,0.22254048,0.204717222,0.12990596,0.170889027,0.228523543
2310,0.171384606,0.230404612,0.101014974,0.149439844,0.224516232
2311,0.224444106,0.225953612,0.147729455,0.147565313,0.160108485
2312,0.249181578,0.209211779,0.219797893,0.1702347,0.150021717
2313,0.195652145,0.214521117,0.135184429,0.205821866,0.200589712
2314,0.186393031,0.190795267,0.059331776,0.243690875,0.210562663
2315,0.261847245,0.123559726,0.138833611,0.236320751,0.178634304
2316,0.303498721,0.130299995,0.223298394,0.216307294,0.214432417
2317,0.219592196,0.199701156,0.123946928,0.221207941,0.296570033
2318,0.170348368,0.251355109,0.04415011,0.185430273,0.266998293
2319,0.229588727,0.195782063,0.084080515,0.115507658,0.191365629
2320,0.272494149,0.133344936,0.144010451,0.12858843,0.214254117
2321,0.187080836,0.19007623,0.120145028,0.198012051,0.284184113
2322,0.132461881,0.338586441,0.088239797,0.201240636,0.267360857
2323,0.172385153,0.344523007,0.100864048,0.14187854,0.208326477
2324,0.294967932,0.229973485,0.146290697,0.15456671,0.249610534
2325,0.279948343,0.192920115,0.163484361,0.190020682,0.312759869
2326,0.254103245,0.254975956,0.131520571,0.178972532,0.272738304
2327,0.232950477,0.262365361,0.098891263,0.168576051,0.244172578
2328,0.212054417,0.207833886,0.113641781,0.256292261,0.282093009
2329,0.217971703,0.184045955,0.116464468,0.278490385,0.268881989
2330,0.258566391,0.247152548,0.096341183,0.234035051,0.251581812
2331,0.274175656,0.262112605,0.110952974,0.225806807,0.294991839
2332,0.23014169,0.178743043,0.135593718,0.258902261,0.329085237
2333,0.240068316,0.178795866,0.108730226,0.25774409,0.246446687
2334,0.264150694,0.271207594,0.089699401,0.205545311,0.199814798
2335,0.267802309,0.272532606,0.118587486,0.174451411,0.230113479
2336,0.228549265,0.191717235,0.147320018,0.196395011,0.288723162
2337,0.223367055,0.205572449,0.068451695,0.210190961,0.248841381
2338,0.24734057,0.230548402,0.053790382,0.222373795,0.203809252
2339,0.273280519,0.166371242,0.100963833,0.276548848,0.198158925
